Pais,Social support,Healthy life expectancy,Freedom to make life choices
Finland,0.954329729,71.9008255,0.949172199
Denmark,0.955990791,72.40250397,0.951444268
Switzerland,0.942846596,74.10244751,0.921336651
Iceland,0.974669576,73,0.948891878
Norway,0.952486575,73.20078278,0.955750287
Netherlands,0.93913883,72.30091858,0.908547819
Sweden,0.926311195,72.60076904,0.939144194
New Zealand,0.949118972,73.20262909,0.936217487
Austria,0.928045869,73.00250244,0.899989486
Luxembourg,0.906912208,72.59999847,0.90563643
Canada,0.927176654,73.60160065,0.933913231
Australia,0.944854617,73.60453796,0.915431738
United Kingdom,0.93668282,72.30160522,0.834743679
Israel,0.913571239,73.20025635,0.747580588
Costa Rica,0.901545942,71.29985046,0.934738934
Ireland,0.942081571,72.30078888,0.886982977
Germany,0.898874462,72.20201874,0.867371082
United States,0.914219022,68.29949951,0.842619538
Czech Republic,0.914430678,70.04793549,0.818537354
Belgium,0.911632538,72.00164795,0.813582063
United Arab Emirates,0.849181116,67.08278656,0.941345513
Malta,0.93037951,72.19999695,0.924911439
France,0.937103748,73.80193329,0.825467646
Mexico,0.838665426,68.29902649,0.858709276
Taiwan Province of China,0.894309103,69.59999847,0.77153033
Uruguay,0.92281127,69.00254822,0.892395437
Saudi Arabia,0.874067068,66.30514526,0.854191244
Spain,0.921125412,74.40270996,0.751989543
Guatemala,0.816621482,64.8089447,0.908147573
Italy,0.889878571,73.60168457,0.66465199
Singapore,0.910268962,76.80458069,0.926645339
Brazil,0.896723807,66.48016357,0.799804807
Slovenia,0.939575672,71.1029892,0.936142623
El Salvador,0.806092262,66.10826111,0.833805263
Kosovo,0.820726514,63.88555527,0.861535907
Panama,0.902094483,69.60301208,0.880366504
Slovakia,0.922493756,68.90634155,0.749952674
Uzbekistan,0.926595807,65.10757446,0.974998116
Chile,0.879713595,69.90061951,0.744896293
Bahrain,0.876342118,68.5,0.905855775
Lithuania,0.926107109,67.29407501,0.747381449
Trinidad and Tobago,0.91529417,63.5,0.857907116
Poland,0.874257445,69.31113434,0.862055779
Colombia,0.884440243,67.69958496,0.836179912
Cyprus,0.805996239,73.70222473,0.779858291
Nicaragua,0.857497036,67.50717926,0.863902867
Romania,0.825161517,67.20723724,0.842823207
Kuwait,0.846475244,66.76764679,0.872366488
Mauritius,0.910357833,66.40434265,0.889534533
